category,target,people,title,shares,current,location,date
  Education, of $19.8k goal,25,Hack Reactor Tuition, 85,"5,635","
                        ,  OAKLAND, CA                    ","Created August 12, 2016"
,,,Art 1 Fisher MS Needs Art Materials,,,,
,,,LGBT Student Film Grants,,,,
  Charity, of €500 goal,9,Volunteer with Refugees in Greece, 58,160,"
                        ,  Dublin 16                    ","Created August 14, 2016"
  Charity, of $10k goal,92,Running for Gurpreet , 692,"12,041","
                        ,  Montville, QLD                    ","Created July 30, 2016"
  Charity," of $4,000 goal",10,Help Stu BUILD a SCHOOL in NEPAL!!!, 45,570,"
                        ,  LOS ANGELES, CA                    ","Created August 13, 2016"
,,,Kitchen In Calais,,,,
,,,The Miami Algebra Project,,,,
  Charity," of £1,000 goal",38,Medical Aid For Refugees in Calais, 128,913,"
                        ,  Rumworth Ward, ENG                    ","Created July 25, 2016"
  Charity, of $20k goal,23,Wheelchair Man, 107,"4,230","
                        ,  WATERTOWN, MA                    ","Created August 5, 2016"
  Charity," of $5,000 goal",51,3rd Annual: Cruisers for Leukemia, 232,"4,385","
                        ,  SAN JOSE, CA                    ","Created July 20, 2016"
  Charity," of $5,000 goal",16,MARKS YOUTH OUTREACH INC., 366,"1,140","
                        ,  MARKS, MS                    ","Created August 6, 2016"
  Animals," of $6,700 goal",65,Brody's Big Heart, 448,"3,875","
                        ,  MONROVIA, CA                    ","Created August 3, 2016"
  Animals," of $1,200 goal",21,Help Messi Walk Again!, 65,875,"
                        ,  DALLAS, TX                    ","Created August 15, 2016"
  Animals," of $2,409 goal",22,DOG HIT BY CAR NEEDS SURGERY ASAP!, 107,690,"
                        ,  LEHIGH ACRES, FL                    ","Created August 17, 2016"
  Animals," of $5,000 goal",22,Emma's Surgery Fund, 60,850,"
                        ,  SPRING, TX                    ","Created August 16, 2016"
  Animals," of $9,500 goal",22,Guardian Dog Rescue needs new truck, 182,950,"
                        ,  MOYOCK, NC                    ","Created August 14, 2016"
  Animals," of $2,300 goal",23,Paisleys reconstructive eye surgery, 143,805,"
                        ,  FORT SMITH, AR                    ","Created August 17, 2016"
,,,All Hands Active is moving!,,,,
  Animals," of $2,500 goal",23,Please help save Lakota!, 159,"1,355","
                        ,  OCEANSIDE, CA                    ","Created August 16, 2016"
  Animals," of $6,000 goal",22,Bring 8 month old Zoe home, 175,995,"
                        ,  CHESAPEAKE, VA                    ","Created August 15, 2016"
  Memorials, of $10k goal,77,comfort care and funeral expenses, 393,"5,310","
                        ,  OSHKOSH, WI                    ","Created August 15, 2016"
  Animals," of $1,000 goal",24,Plasma transfusion for Yola, 172,635,"
                        ,  RANCHO CUCAMONGA, CA                    ","Created August 15, 2016"
  Animals, of $400 goal,24,Eye  surgery for Roxanne the rabbit, 122,770,"
                        ,  SPOKANE, WA                    ","Created August 14, 2016"
  Memorials," of $8,500 goal",77,Donations for Kamonies funeral. .., 476,"2,530","
                        ,  AUSTELL, GA                    ","Created August 15, 2016"
  Memorials, of $10k goal,77,Funeral Expense for Olman Ramirez , 1.5K,"3,610","
                        ,  AUSTIN, TX                    ","Created August 16, 2016"
  Memorials," of $3,500 goal",78,Kameron and Kylee, 1.1K,"2,490","
                        ,  SAINT LOUIS, MO                    ","Created August 16, 2016"
  Memorials," of $2,500 goal",80,Elizabeth Ortiz Memorial, 179,"4,490","
                        ,  BRONX, NY                    ","Created August 16, 2016"
  Memorials," of $5,000 goal",139,Our Beloved Emily Ramm , 1.6K,"8,120","
                        ,  POULSBO, WA                    ","Created August 14, 2016"
  Memorials, of $30k goal,316,Funeral for Luis Malagon, 3.1K,"23,986","
                        ,  CERES, CA                    ","Created August 13, 2016"
  Memorials, of $10k goal,85,Morris Family Memorial Fund, 413,"10,660","
                        ,  GILBERT, AZ                    ","Created August 15, 2016"
  Memorials, of $10k goal,85,In Memory of Parker Pautsch, 1.0K,"4,205","
                        ,  Oro, ON                    ","Created August 16, 2016"
  Sports," of £3,000 goal",20,Ras na mBan 2016 team, 42,"3,015","
                        ,  Skircoat Ward, ENG                    ","Created August 1, 2016"
  Sports," of $6,000 goal",7,2016 Judo Competitions, 76,700,"
                        ,  COVENTRY, RI                    ","Created August 14, 2016"
,,,Alyssa's Basketball Fund,,,,
  Sports," of $2,500 goal",45,HUSAY peewee div basketball team, 190,"1,603","
                        ,  BAYONNE, NJ                    ","Created August 5, 2016"
  Sports," of $5,462 goal",8,Help Send the Furies to Playoffs!, 90,270,"
                        ,  BUFFALO, NY                    ","Created August 15, 2016"
  Sports," of $9,500 goal",8,Developing a Champion From Scratch, 172,140,"
                        ,  PHILADELPHIA, PA                    ","Created August 14, 2016"
,,,Royal Blue Flag Squad Accessory Fund,,,,
  Volunteer," of £2,500 goal",43,Suport Madeira, 761,905,"
                        ,  Northfleet North Ward, ENG                    ","Created August 10, 2016"
  Volunteer," of $5,550 goal",10,Jemima's Me to We trip to India!, 74,510,"
                        ,  Toronto, ON                    ","Created August 12, 2016"
  Volunteer," of $1,200 goal",24,Alexandria  Park Bulletin Boards, 70,735,"
                        ,  BLOOMSBURY, NJ                    ","Created July 20, 2016"
  Volunteer, of $500 goal,6,Liam Granlund Eagle Scout Project, 93,125,"
                        ,  MILWAUKEE, WI                    ","Created August 16, 2016"
  Volunteer, of $450 goal,14,Jimmy's Eagle Scout Project, 52,410,"
                        ,  JASPER, TN                    ","Created August 11, 2016"
  Volunteer," of $1,250 goal",11,Helping in Haiti... On my birthday!, 45,540,"
                        ,  WINONA, MN                    ","Created July 30, 2016"
  Volunteer," of $5,000 goal",29,Volunteer Art Therapy Program , 144,"1,725","
                        ,  FLORENCE, SC                    ","Created July 18, 2016"
  Volunteer, of $500 goal,11,Helping Peru's Families, 86,280,"
                        ,  Warrandyte South, VIC                    ","Created August 10, 2016"
  Volunteer, of $15k goal,94,Laos Birthwork, 671,"5,582","
                        ,  Gympie, QLD                    ","Created August 3, 2016"
  Emergencies, of $10k goal,91,North Baton Rouge Disaster Relief , 388,"4,825","
                        ,  BATON ROUGE, LA                    ","Created August 14, 2016"
  Emergencies, of $25k goal,104,Greg & Andria's Flood Expenses, 384,"11,530","
                        ,  LAFAYETTE, LA                    ","Created August 14, 2016"
  Emergencies, of $10k goal,65,Greg and Joe Fire Loss, 230,"4,830","
                        ,  STANWOOD, WA                    ","Created August 17, 2016"
  Emergencies, of $50k goal,66,Himmel's Employee Flood Relief Fund, 291,"61,200","
                        ,  PRAIRIEVILLE, LA                    ","Created August 15, 2016"
  Education," of $3,000 goal",71,Help Kenya Get to Howard U!, 245,"3,271","
                        ,  HOUSTON, TX                    ","Created August 8, 2016"
  Education, of $650 goal,13,Wilderness First Responder training, 36,420,"
                        ,  ANCHORAGE, AK                    ","Created August 16, 2016"
,,,School Supplies for Everyone,,,,
  Education," of $6,000 goal",14,KaMai's College Education @ JSU, 250,520,"
                        ,  MINNEAPOLIS, MN                    ","Created August 16, 2016"
  Education," of $5,000 goal",14,Kelsey Matthews' Education Fund, 71,"1,195","
                        ,  EAST HAVEN, CT                    ","Created August 16, 2016"
  Emergencies, of $50k goal,63,Louisiana OD Flood Relief , 237,"18,600","
                        ,  OAKDALE, LA                    ","Created August 15, 2016"
  Education," of $3,000 goal",14,Ania's Banff Music Residency Fund, 82,441,"
                        ,  Toronto, ON                    ","Created August 14, 2016"
  Education, of $20k goal,14, Blueprint 4 a Community Liberation, 92,965,"
                        ,  PROVIDENCE, RI                    ","Created August 15, 2016"
  Education, of $10k goal,49,Christopher and Cesar's Fund , 169,"4,020","
                        ,  CHULA VISTA, CA                    ","Created August 11, 2016"
  Education, of $10k goal,143,Support Kenneth's College Expenses!, 229,"8,906","
                        ,  NEW YORK, NY                    ","Created August 8, 2016"
  Emergencies," of $7,500 goal",50,Cobb Family Baton Rouge Flood, 136,"5,490","
                        ,  DENHAM SPRINGS, LA                    ","Created August 16, 2016"
  Memorials, of $15k goal,112,Help to Honor Manuel Ayala , 537,"8,250","
                        ,  MILFORD, PA                    ","Created August 9, 2016"
  Emergencies, of $25k goal,51,Jobes Family 2016 Flood Relief, 242,"6,055","
                        ,  SAINT AMANT, LA                    ","Created August 17, 2016"
  Emergencies, of $10k goal,50,Help the Casey Family, 206,"6,285","
                        ,  BATON ROUGE, LA                    ","Created August 14, 2016"
  Emergencies, of $15k goal,51,Louisiana Disaster Relief Efforts	, 85,"7,545","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
,,,Ironman Arizona Community Fund,,,,
  Memorials," of $6,000 goal",60,Memorial Fund for James Snow, 654,"2,830","
                        ,  ADGER, AL                    ","Created August 17, 2016"
  Memorials, of $75k goal,479,Dima Bondarenko Funeral Fund, 2.2K,"65,257","
                        ,  BURNSVILLE, MN                    ","Created August 11, 2016"
,,,Evan Austin & Family Rio 2016,,,,
,,,UNSW Whales to Champions Cup,,,,
  Charity," of $2,500 goal",21,"Goodluck.... Miss You, too", 173,795,"
                        ,  SAN FRANCISCO, CA                    ","Created July 11, 2016"
  Medical," of $7,000 goal",77,Help For the Varney Family, 913,"4,630","
                        ,  MEMPHIS, TN                    ","Created August 12, 2016"
  Emergencies, of $10k goal,47,Flood Relief for Michael Patin, 332,"8,450","
                        ,  CLEVELAND, TN                    ","Created August 14, 2016"
  Memorials, of $10k goal,54,In Honor of Helene Lewkowicz, 529,"2,005","
                        ,  NEW YORK, NY                    ","Created August 16, 2016"
  Memorials, of $10k goal,54,The Celebration of Terrance Cushing, 205,"4,160","
                        ,  CLE ELUM, WA                    ","Created August 16, 2016"
  Volunteer," of $1,750 goal",4,Eagle Project:Hopatcong Observatory, 51,175,"
                        ,  HOPATCONG, NJ                    ","Created August 15, 2016"
  Memorials," of $5,000 goal",55,"Remembering our friend, JD Sakamoto", 456,"3,520","
                        ,  WEST HOLLYWOOD, CA                    ","Created August 17, 2016"
  Memorials, of $100k goal,629,"Kruetzfeldt Boys, Sonora Ca.", 1.7K,"76,987","
                        ,  SONORA, CA                    ","Created August 6, 2016"
  Memorials, of $10k goal,175,Josh Beam Memorial Fund, 855,"12,315","
                        ,  UNION, KY                    ","Created August 12, 2016"
  Memorials, of $25k goal,604,Meagan Duarte Memorial Fund, 4.4K,"35,020","
                        ,  NORTHAMPTON, PA                    ","Created July 28, 2016"
  Education," of $2,000 goal",9,Mrs Banks Freshman High Flood Fund, 85,850,"
                        ,  DENHAM SPRINGS, LA                    ","Created August 17, 2016"
  Education, of $20k goal,37,Sylvia's final wish, 246,"1,750","
                        ,  WHATELY, MA                    ","Created August 4, 2016"
  Education, of $500 goal,14,Ms. Vaughan's 2nd Grade Class, 73,440,"
                        ,  OKLAHOMA CITY, OK                    ","Created August 12, 2016"
  Education, of $10k goal,9,Help PTP Celebrate Fifteen Years!!!, 44,"1,525","
                        ,  SPRING VALLEY, NY                    ","Created August 7, 2016"
  Education," of $5,000 goal",29,London's Support Fund, 54,"6,100","
                        ,  ATLANTA, GA                    ","Created August 8, 2016"
  Memorials," of $2,000 goal",56,RIP Wake - Kirino Fabian , 964,"1,430","
                        ,  CHICAGO, IL                    ","Created August 17, 2016"
  Memorials, of $1 goal,57,Starkey-Williams Family Fund, 195,"5,290","
                        ,  BAGDAD, AZ                    ","Created August 16, 2016"
  Education, of $100k goal,15,Building Youth (Apprenticeship), 152,410,"
                        ,  ATLANTA, GA                    ","Created August 4, 2016"
  Medical," of $2,500 goal",61,Katie's Post-hospital expenses, 190,"1,865","
                        ,  SAN DIEGO, CA                    ","Created August 11, 2016"
  Medical, of $500k goal,386,Let's Rally for Ali!, 1.2K,"37,584","
                        ,  HULL, MA                    ","Created August 2, 2016"
  Medical," of $3,000 goal",64,Get Michelle's kidney's fixed, 32,"5,090","
                        ,  PENDERGRASS, GA                    ","Created August 15, 2016"
  Medical, of $50k goal,63,Melissa's Cancer Journey , 663,"6,030","
                        ,  COLUMBIA, MO                    ","Created August 15, 2016"
  Medical, of $50k goal,135,#DrewStrong Save & Support, 1.4K,"12,265","
                        ,  ROMEO, MI                    ","Created August 12, 2016"
  Medical, of $20k goal,64,Danny Cygan's Skin Surgery!, 434,"2,802","
                        ,  BASEHOR, KS                    ","Created August 14, 2016"
  Medical, of $10k goal,65,Support  Erika Jones , 292,"6,805","
                        ,  SEATTLE, WA                    ","Created August 15, 2016"
,,,Denise Ryan Lyme Disease Fund,,,,
  Medical, of $10k goal,66,Henry Needs a Miracle, 262,"5,882","
                        ,  AUBURN, CA                    ","Created August 15, 2016"
  Memorials, of $10k goal,58,Kyanna Faith Beasley Memorial, 810,"6,370","
                        ,  VALLEY SPRINGS, CA                    ","Created August 15, 2016"
  Medical," of $4,000 goal",66,Help Jessica Get Back On Her Feet, 165,"2,927","
                        ,  Winnipeg, MB                    ","Created August 16, 2016"
  Memorials," of $7,500 goal",59,Sunkashka Soch Memorial Fund, 510,"1,955","
                        ,  PROVIDENCE, RI                    ","Created August 17, 2016"
  Memorials, of $20k goal,59,Brian Tripp Memorial Fund, 239,"7,200","
                        ,  KENNESAW, GA                    ","Created August 15, 2016"
  Volunteer, of £200 goal,23,Rehab Centre for children in Nepal, 93,455,"
                        ,  Partick West Ward, SCT                    ","Created August 8, 2016"
,,,Melody's Africa Yoga Project,,,,
  Volunteer, of £250 goal,19,Mother of Mercy Hospice - Resources, 86,325,"
                        ,  Streatham Wells Ward, ENG                    ","Created July 30, 2016"
  Volunteer, of $400 goal,25,Max's Eagle Scout Project, 39,665,"
                        ,  RALEIGH, NC                    ","Created July 31, 2016"
  Volunteer," of $3,333 goal",43,Remembering Billy, 264,"4,599","
                        ,  BOCA RATON, FL                    ","Created July 29, 2016"
  Volunteer," of $1,500 goal",6,SRU PA Medical Mission Trip- Allie, 80,265,"
                        ,  PITTSBURGH, PA                    ","Created August 7, 2016"
  Volunteer, of £300 goal,18,Walking for Real Love, 240,478,"
                        ,  Allerton and Hunts Cross Ward, ENG                    ","Created July 9, 2016"
  Emergencies, of $75k goal,45,Narconon Louisiana Re-start Fund!, 1.1K,"5,365","
                        ,  DENHAM SPRINGS, LA                    ","Created August 15, 2016"
,,,"Amy's charity internship, Cambodia",,,,
  Emergencies, of $10k goal,45,Whitmore housefire fund, 431,"3,435","
                        ,  AMESBURY, MA                    ","Created August 16, 2016"
  Volunteer," of $3,000 goal",4,Hunters Volunteer trip to Africa , 64,95,"
                        ,  SEDALIA, MO                    ","Created August 15, 2016"
  Emergencies, of $10k goal,45,Family's Dream Home Catches Fire, 264,"2,792","
                        ,  TALLAHASSEE, FL                    ","Created August 15, 2016"
  Emergencies, of $50k goal,104,Pourciau Baton Rouge Flood Victims, 293,"8,396","
                        ,  GREENWELL SPRINGS, LA                    ","Created August 13, 2016"
  Emergencies," of $4,000 goal",47,OLOL Pediatric Residents Fund, 208,"4,645","
                        ,  NEW ORLEANS, LA                    ","Created August 17, 2016"
  Emergencies, of $1.0M goal,45,Alliance of Dog People Flood Assist, 725,"2,525","
                        ,  JENA, LA                    ","Created August 15, 2016"
  Emergencies, of $20k goal,77,Operation Deshotels , 411,"9,705","
                        ,  LAFAYETTE, LA                    ","Created August 13, 2016"
  Emergencies," of $5,000 goal",46,Baton Rouge Flooding, 68,"2,620","
                        ,  ATLANTA, GA                    ","Created August 15, 2016"
  Emergencies," of $5,000 goal",47,Help the Ladwig family, 384,"4,020","
                        ,  Gibsons, BC                    ","Created August 16, 2016"
  Animals," of $5,000 goal",26,Leo's Cancer Treatment, 71,"1,500","
                        ,  BOULDER, CO                    ","Created August 14, 2016"
  Animals," of $7,000 goal",16,Macy's Medical Fund, 123,545,"
                        ,  ROUND ROCK, TX                    ","Created August 15, 2016"
  Animals, of $15k goal,16,West Point Dog Park Renovation, 186,985,"
                        ,  WEST POINT, NY                    ","Created August 4, 2016"
  Animals," of $2,000 goal",18,Help Save Batman The Cat, 114,665,"
                        ,  MACOMB, MI                    ","Created August 14, 2016"
  Animals," of £3,000 goal",16,Help Me to Help Them, 226,520,"
                        ,  Whitefield, ENG                    ","Created August 14, 2016"
,,,Milo's Medical Fund,,,,
  Animals," of $4,000 goal",36,Relocation of Feral Cat Colony , 126,"3,080","
                        ,  CAMPBELL, CA                    ","Created July 28, 2016"
  Medical, of $20k goal,67,Fio's Healing Journey , 918,"6,525","
                        ,  Beaconsfield, NSW                    ","Created August 16, 2016"
  Medical, of $25k goal,239,Support For The Bruggeman  Family, 730,"16,750","
                        ,  Munhall, PA                    ","Created August 10, 2016"
  Animals," of $1,000 goal",18,Horse Rescues Fr Flooding Water , 246,845,"
                        ,  SLIDELL, LA                    ","Created August 14, 2016"
  Medical, of $50k goal,105,Baby Madeline's Micro-Preemie Fund, 586,"8,176","
                        ,  SAN FRANCISCO, CA                    ","Created August 13, 2016"
  Medical," of $5,000 goal",69,"""Rell's Elves"" ", 151,"2,936","
                        ,  POWHATAN, VA                    ","Created August 16, 2016"
  Medical, of $10k goal,187, #ScootinAmerica bike, 8.9K,"7,202","
                        ,  NAPLES, FL                    ","Created August 11, 2016"
  Medical," of $2,500 goal",70,Help with Anelah's medical expenses, 630,"3,255","
                        ,  BAY CITY, MI                    ","Created August 15, 2016"
  Medical," of $5,000 goal",72,Lucas Aurelian Helms Support Fund, 307,"4,470","
                        ,  VENTURA, CA                    ","Created August 15, 2016"
  Medical, of $10k goal,70,Erics Medical and expense fund, 267,"4,822","
                        ,  GRESHAM, OR                    ","Created August 15, 2016"
  Medical," of $9,000 goal",71,Bessie from Websleuths Needs Help, 97,"2,100","
                        ,  PARK CITY, UT                    ","Created August 15, 2016"
  Charity," of $5,000 goal",37,Capital City Youth Strength , 91,"2,349","
                        ,  COLUMBUS, OH                    ","Created July 20, 2016"
  Charity, of £10k goal,37,Muscle car fighting domestic abuse!, 252,"1,485","
                        ,  Village Ward, ENG                    ","Created July 20, 2016"
  Charity," of $5,000 goal",16,Help us meet a challenge grant, 73,925,"
                        ,  SAINT LOUIS, MO                    ","Created August 1, 2016"
  Charity," of $8,000 goal",32,Lancer Wrestling Club New Mat Fund, 161,"1,730","
                        ,  MADISON, WI                    ","Created August 9, 2016"
  Charity, of $50k goal,17,The Superhero Center for Autism, 227,"1,140","
                        ,  POPLAR GROVE, IL                    ","Created August 10, 2016"
,,,Rise Above Stigma ,,,,
,,,"30 Miles, 2 Charities, 1 Mal",,,,
,,,Trans-Atlantic Cancer Cycle,,,,
  Charity," of $6,000 goal",8,Replace DASA's Stolen Trailers, 107,470,"
                        ,  SAINT PETERS, MO                    ","Created August 17, 2016"
  Sports," of $8,000 goal",29,Freeze Sled Hockey, 317,"1,865","
                        ,  PERTH AMBOY, NJ                    ","Created August 3, 2016"
  Sports," of $5,000 goal",14,LETS SHOW DWADE GRATITUDE, 565,269,"
                        ,  WEST PALM BEACH, FL                    ","Created August 2, 2016"
  Sports," of $1,160 goal",20,MLK SOFTBALL, 41,"1,025","
                        ,  STOCKBRIDGE, GA                    ","Created July 13, 2016"
,,,Rania Naser US Taekwondo Competitor,,,,
  Sports," of $3,000 goal",22,Build a Locker Room for LHS Soccer, 83,"2,550","
                        ,  AUSTIN, TX                    ","Created August 11, 2016"
  Sports," of $6,000 goal",48,WSMS SPARTAN FOOTBALL, 384,"3,770","
                        ,  MEMPHIS, TN                    ","Created August 2, 2016"
,,,Hartford Public Football,,,,
  Sports," of $3,000 goal",13,Ian Cameron's Eagle Project/ HYBSA, 54,"2,225","
                        ,  BUDA, TX                    ","Created August 11, 2016"
  Volunteer," of $5,000 goal",10,Help Rebuild Flood Victims Homes , 104,545,"
                        ,  NEWTON, WV                    ","Created August 10, 2016"
  Animals, of $700 goal,17,"Surgery for my buddy, Cappi ", 42,935,"
                        ,  SAUKVILLE, WI                    ","Created August 17, 2016"
,,,Defend animal abuse whistleblowers.,,,,
,,,RITSONA REFUGEE CAMP FUNDRAISING,,,,
  Animals, of $10k goal,47,We love Bill and Mack., 150,"4,255","
                        ,  NEW YORK, NY                    ","Created August 13, 2016"
,,,Nevaeh Wants To Walk,,,,
  Animals," of $7,578 goal",229,Piston's Recovery Fund, 1.6K,"8,133","
                        ,  BUFFALO GROVE, IL                    ","Created August 10, 2016"
  Animals," of $4,500 goal",25,Help Save Cooper!!, 86,"2,630","
                        ,  GRASS VALLEY, CA                    ","Created August 13, 2016"
  Animals," of £5,000 goal",18,Help Leia get to Willows, 81,353,"
                        ,  Machynlleth Community, WLS                    ","Created August 15, 2016"
  Animals," of $2,500 goal",75,Help Me Save Prancer!, 132,"3,305","
                        ,  LAS VEGAS, NV                    ","Created August 13, 2016"
  Volunteer, of £800 goal,5,Transport Help, 77,150,"
                        ,  Skelton and Brotton, ENG                    ","Created August 14, 2016"
  Animals," of $3,500 goal",136,Help Save Henry! , 1.3K,"4,910","
                        ,  SYRACUSE, NY                    ","Created August 9, 2016"
  Animals," of $5,000 goal",20,Boba's Vet Bills!, 57,"1,605","
                        ,  LOS ANGELES, CA                    ","Created August 14, 2016"
  Memorials," of $6,000 goal",60,Funds for Robinson's and baby Moses, 240,"5,300","
                        ,  JACKSONVILLE, FL                    ","Created August 15, 2016"
  Memorials," of $3,500 goal",60,Elaine Rosa Salo Assistance Fund , 264,"4,140","
                        ,  PHOENIX, AZ                    ","Created August 14, 2016"
  Memorials, of $10k goal,65,Kari's Memorial Fund, 322,"8,091","
                        ,  East Palo Alto,                     ","Created August 14, 2016"
  Memorials," of $3,000 goal",61,John Johnson's Final Resting Help, 146,"3,130","
                        ,  TOPEKA, KS                    ","Created August 15, 2016"
,,,In Memory Of Glenda  ThomasFletcher,,,,
  Memorials, of $10k goal,62,Joshua Walby's Memorial Fund, 824,"3,370","
                        ,  ALBUQUERQUE, NM                    ","Created August 16, 2016"
  Memorials," of $8,000 goal",63,Memorial for Karina Martinez , 1.8K,"3,175","
                        ,  NEWNAN, GA                    ","Created August 14, 2016"
  Charity," of $5,000 goal",35,Urgent shade needed for horses, 344,"2,450","
                        ,  CAVE CREEK, AZ                    ","Created August 3, 2016"
  Charity, of $10k goal,53,Medical relief for refugees, 235,"3,995","
                        ,  GAINESVILLE, FL                    ","Created August 5, 2016"
,,,Row4aCure,,,,
  Charity," of $5,000 goal",8,Bikes for kids, 55,470,"
                        ,  CANTON, GA                    ","Created August 16, 2016"
  Charity, of £200 goal,8,NCSForParkinsons, 76,90,"
                        ,  West Walton, ENG                    ","Created August 12, 2016"
  Charity," of $1,500 goal",8,SHARE Bear - Pregnancy/Infant Loss , 168,455,"
                        ,  HALTOM CITY, TX                    ","Created August 15, 2016"
  Charity," of $2,000 goal",55,Teenage Suicide Prevention, 463,"1,075","
                        ,  Bracken Ridge, QLD                    ","Created July 27, 2016"
,,,Remembering Lee Smee - Mind R & C ,,,,
,,,Staying Above Water,,,,
  Education," of $7,500 goal",9,Robots for Kindergarten and 1st , 33,535,"
                        ,  BENTON, LA                    ","Created August 16, 2016"
  Education," of $1,200 goal",9,Please Help Me Move for School!, 47,525,"
                        ,  ARLINGTON, TX                    ","Created August 16, 2016"
  Education, of $500 goal,9,Help build the School of Hope, 53,435,"
                        ,  St Catharines, ON                    ","Created August 15, 2016"
  Education," of $1,000 goal",31,Joshua's Boy Scout Eagle Project!, 57,"1,105","
                        ,  SAINT LOUIS, MO                    ","Created August 12, 2016"
  Education," of $1,000 goal",9,Jacob's (Big Red) College Fund., 100,400,"
                        ,  ABILENE, TX                    ","Created August 16, 2016"
  Education, of €9.000 goal,28,Help for My Master Program Studies, 183,1.740,"
                        ,  Aarhus, Denmark                    ","Created August 13, 2016"
,,,Ryan & April College Fund,,,,
  Education," of $2,000 goal",25,Help Ocey , 169,630,"
                        ,  Banora Point, NSW                    ","Created August 9, 2016"
  Emergencies," of $5,000 goal",47,Car Fund For Corey, 196,"2,547","
                        ,  PASADENA, MD                    ","Created August 17, 2016"
  Emergencies, of $15k goal,47,Noble Family Home Rebuild, 825,"5,000","
                        ,  HUNTSVILLE, AL                    ","Created August 15, 2016"
  Emergencies," of $3,000 goal",52,Help for sick & struggling QTPOC , 219,"3,000","
                        ,  SEATTLE, WA                    ","Created August 13, 2016"
  Emergencies, of $25k goal,67,Henderson Family, 391,"8,830","
                        ,  MYRTLE BEACH, SC                    ","Created August 14, 2016"
  Emergencies," of $5,000 goal",49,Soriya & Chad, 375,"3,720","
                        ,  CONCORD, NH                    ","Created August 15, 2016"
  Education," of $1,700 goal",10,Send Zaid to his American Degree, 81,251,"
                        ,  GOODYEAR, AZ                    ","Created August 16, 2016"
  Emergencies," of $2,500 goal",49,Help Baton Rouge Public Defenders, 252,"2,850","
                        ,  NEW ORLEANS, LA                    ","Created August 16, 2016"
  Emergencies, of $10k goal,49,Lathrop Family Flood Recovery, 305,"4,970","
                        ,  DENHAM SPRINGS, LA                    ","Created August 15, 2016"
  Emergencies, of $15k goal,50,Flooded home: Help the Le's, 292,"7,965","
                        ,  DENHAM SPRINGS, LA                    ","Created August 14, 2016"
,,,Support Victims of Pulse Shooting,,,,
  Sports, of $700 goal,8,Send us to Boxing Nationals , 58,220,"
                        ,  SAVANNAH, GA                    ","Created August 11, 2016"
  Emergencies," of $5,000 goal",85,Charlie Kaylor needs your help!, 772,"5,175","
                        ,  CORTLANDT MANOR, NY                    ","Created August 13, 2016"
,,,Lochie Eadie World Championships,,,,
  Sports, of $10k goal,30,Tufts Football Films, 65,"3,850","
                        ,  SOMERVILLE, MA                    ","Created August 7, 2016"
  Sports, of $500 goal,6,Sir Haroun to GWW, 56,255,"
                        ,  PASO ROBLES, CA                    ","Created August 15, 2016"
  Sports," of $1,000 goal",21,Help Bianca get to Sydney!, 207,970,"
                        ,  Horsham, VIC                    ","Created July 21, 2016"
,,,Aimee Caligiore's Road to the LPGA ,,,,
  Emergencies," of $3,000 goal",52,Ben Landry & family need our help, 115,"2,015","
                        ,  ANAHEIM, CA                    ","Created August 16, 2016"
  Sports," of $4,500 goal",14,Zac & Bek bound for Bangkok for USA, 189,"2,535","
                        ,  PORTER, TX                    ","Created August 1, 2016"
  Emergencies, of $10k goal,65,Tate Family Flood Recovery, 426,"4,409","
                        ,  MOUNTAIN VIEW, CA                    ","Created August 14, 2016"
  Sports, of $12k goal,12,The journey to 2020 starts with '17, 214,425,"
                        ,  Montérégie-Nord , QC                    ","Created August 2, 2016"
  Emergencies, of $15k goal,53,Air Force Family Impacted by Flood , 367,"3,835","
                        ,  DENHAM SPRINGS, LA                    ","Created August 17, 2016"
  Emergencies, of $250k goal,140,HELP!!  My family lost everything, 893,"8,853","
                        ,  QUEENS VILLAGE, NY                    ","Created August 14, 2016"
  Emergencies, of $10k goal,53,JoSh's Car Accident and Tumour, 144,"5,005","
                        ,  St. Peters, NSW                    ","Created August 15, 2016"
  Memorials," of $2,934 goal",64,Fundraising for the Eustice Family, 346,"3,029","
                        ,  MADISONVILLE, KY                    ","Created August 15, 2016"
  Memorials," of $5,000 goal",65,Jennielyn Ramos-Endrinal , 362,"2,640","
                        ,  Winnipeg, MB                    ","Created August 16, 2016"
  Memorials," of $3,000 goal",64,In loving memory of Daniel Wiggins , 321,"4,685","
                        ,  NEW YORK, NY                    ","Created August 15, 2016"
  Memorials," of $5,000 goal",64,Fiege Family, 196,"3,330","
                        ,  INDIANAPOLIS, IN                    ","Created August 17, 2016"
  Memorials, of $20k goal,65,Best Dad , 323,"5,990","
                        ,  RIDGEWOOD, NY                    ","Created August 17, 2016"
  Memorials, of $10k goal,66,Let's Help Lisa!, 287,"6,346","
                        ,  APEX, NC                    ","Created August 15, 2016"
  Emergencies, of $30k goal,85,Louisiana Flood_ADSK Employee Fund, 75,"15,170","
                        ,  SUWANEE, GA                    ","Created August 13, 2016"
  Memorials," of $3,500 goal",73,Remembering Gavin Keblish, 300,"3,290","
                        ,  SOUTHAMPTON, NY                    ","Created August 14, 2016"
